idioma,slug,titulo,url_producto,url_brochure_completa
en,20-sl-tandem,"20' SL Tandem",https://americanchassisdepot.com/en/products/20-sl-tandem,https://americanchassisdepot.com/brochures/en/20-sl-tandem.pdf
en,20-sl-tandem-extended,"20' SL Tandem Extended Version",https://americanchassisdepot.com/en/products/20-sl-tandem-extended,https://americanchassisdepot.com/brochures/en/20-sl-tandem-extended.pdf
en,20-40-12-pins-triaxle,"20/40 12 Pins Triaxle Container Chassis",https://americanchassisdepot.com/en/products/20-40-12-pins-triaxle,https://americanchassisdepot.com/brochures/en/20-40-12-pins-triaxle.pdf
en,20-40-extendable-tandem,"20/40 Extendable Container Chassis Tandem",https://americanchassisdepot.com/en/products/20-40-extendable-tandem,https://americanchassisdepot.com/brochures/en/20-40-extendable-tandem.pdf
en,20-40-extendable-tandem-standard,"20/40 Extendable Tandem Container Chassis",https://americanchassisdepot.com/en/products/20-40-extendable-tandem-standard,https://americanchassisdepot.com/brochures/en/20-40-extendable-tandem-standard.pdf
en,20-40-extendable-tandem-psi,"20/40 Extendable Tandem Container Chassis With PSI",https://americanchassisdepot.com/en/products/20-40-extendable-tandem-psi,https://americanchassisdepot.com/brochures/en/20-40-extendable-tandem-psi.pdf
en,20-40-slider-12pins-tandem,"20/40' Slider 12pins Container Chassis Tandem",https://americanchassisdepot.com/en/products/20-40-slider-12pins-tandem,https://americanchassisdepot.com/brochures/en/20-40-slider-12pins-tandem.pdf
en,20-40-45-extendable-triaxle,"20/40/45' Extendable Triaxle Container Chassis",https://americanchassisdepot.com/en/products/20-40-45-extendable-triaxle,https://americanchassisdepot.com/brochures/en/20-40-45-extendable-triaxle.pdf
en,20-40-45-combo-tandem,"20/40/45′ Combo Tandem",https://americanchassisdepot.com/en/products/20-40-45-combo-tandem,https://americanchassisdepot.com/brochures/en/20-40-45-combo-tandem.pdf
en,20-40-45-combo-tridem,"20'/40'/45' COMBO TRIDEM",https://americanchassisdepot.com/en/products/20-40-45-combo-tridem,https://americanchassisdepot.com/brochures/en/20-40-45-combo-tridem.pdf
en,20ft-iso-tank-container-chassis,"20ft ISO Tank Container Chassis",https://americanchassisdepot.com/en/products/20ft-iso-tank-container-chassis,https://americanchassisdepot.com/brochures/en/20ft-iso-tank-container-chassis.pdf
en,33ft-slider-tri-axle,"33' Slider Tri-Axle Container Chassis",https://americanchassisdepot.com/en/products/33ft-slider-tri-axle,https://americanchassisdepot.com/brochures/en/33ft-slider-tri-axle.pdf
en,40ft-gn-tandem,"40' GN Tandem",https://americanchassisdepot.com/en/products/40ft-gn-tandem,https://americanchassisdepot.com/brochures/en/40ft-gn-tandem.pdf
en,40ft-lightweight-four-axle,"40' Lightweight Four-Axle Chassis",https://americanchassisdepot.com/en/products/40ft-lightweight-four-axle,https://americanchassisdepot.com/brochures/en/40ft-lightweight-four-axle.pdf
en,40-45-extendable,"40/45 Extendable Container Chassis",https://americanchassisdepot.com/en/products/40-45-extendable,https://americanchassisdepot.com/brochures/en/40-45-extendable.pdf
en,40-45-48-53-extendable-triaxle,"40/45/48/53' Extendable Triaxle Container Chassis",https://americanchassisdepot.com/en/products/40-45-48-53-extendable-triaxle,https://americanchassisdepot.com/brochures/en/40-45-48-53-extendable-triaxle.pdf
en,40ft-gooseneck-triaxle,"40FT Gooseneck Triaxle",https://americanchassisdepot.com/en/products/40ft-gooseneck-triaxle,https://americanchassisdepot.com/brochures/en/40ft-gooseneck-triaxle.pdf
en,40ft-gooseneck-genset,"40FT Gooseneck With Genset",https://americanchassisdepot.com/en/products/40ft-gooseneck-genset,https://americanchassisdepot.com/brochures/en/40ft-gooseneck-genset.pdf
en,40ft-gooseneck-lightweight,"40ft Gooseneck Lightweight",https://americanchassisdepot.com/en/products/40ft-gooseneck-lightweight,https://americanchassisdepot.com/brochures/en/40ft-gooseneck-lightweight.pdf
en,40-gn-lightweight-4-axles,"40′ GN Lightweight – 4 Axles",https://americanchassisdepot.com/en/products/40-gn-lightweight-4-axles,https://americanchassisdepot.com/brochures/en/40-gn-lightweight-4-axles.pdf
en,53-gn-slider-tandem,"53' GN Slider Tandem",https://americanchassisdepot.com/en/products/53-gn-slider-tandem,https://americanchassisdepot.com/brochures/en/53-gn-slider-tandem.pdf
en,53ft-gooseneck-slider-tandem,"53' Gooseneck Slider Tandem Container Chassis",https://americanchassisdepot.com/en/products/53ft-gooseneck-slider-tandem,https://americanchassisdepot.com/brochures/en/53ft-gooseneck-slider-tandem.pdf
es,20-40-12-pins-triaxle-esp,"20/40 12 Pins Triaxle",https://americanchassisdepot.com/es/products/20-40-12-pins-triaxle-esp,https://americanchassisdepot.com/brochures/es/20-40-12pins-triaxle-esp.pdf
es,20-40-extendable-tandem-esp,"20/40 Extensible Tandem",https://americanchassisdepot.com/es/products/20-40-extendable-tandem-esp,https://americanchassisdepot.com/brochures/es/20-40-extendable-tandem-esp.pdf
es,20-40-extendable-tandem-psi-esp,"20/40 Extensible Tandem con PSI",https://americanchassisdepot.com/es/products/20-40-extendable-tandem-psi-esp,https://americanchassisdepot.com/brochures/es/20-40-extendable-tandem-psi-esp.pdf
es,20-40-slider-12pins-tandem-esp,"20/40 Slider 12 Pins Tandem",https://americanchassisdepot.com/es/products/20-40-slider-12pins-tandem-esp,https://americanchassisdepot.com/brochures/es/20-40-slider-12pins-tandem-esp.pdf
es,20-40-12pins-triaxle-esp,"20/40' 12 Pins Triaxle Container Chassis (ESP)",https://americanchassisdepot.com/es/products/20-40-12pins-triaxle-esp,https://americanchassisdepot.com/brochures/es/20-40-12pins-triaxle-esp.pdf
es,20-40-45-combo-tandem-esp,"20/40/45 Combo Tandem",https://americanchassisdepot.com/es/products/20-40-45-combo-tandem-esp,https://americanchassisdepot.com/brochures/es/20-40-45-combo-tandem-esp.pdf
es,20-40-45-extendable-triaxle-esp,"20/40/45 Extensible Triaxle",https://americanchassisdepot.com/es/products/20-40-45-extendable-triaxle-esp,https://americanchassisdepot.com/brochures/es/20-40-45-extendable-triaxle-esp.pdf
es,20ft-iso-tank-container-chassis-esp,"20ft ISO Tank Container Chassis (ESP)",https://americanchassisdepot.com/es/products/20ft-iso-tank-container-chassis-esp,https://americanchassisdepot.com/brochures/es/20ft-iso-tank-container-chassis-esp.pdf
es,20-flushback-chassis-esp,"20′ Flushback Chassis",https://americanchassisdepot.com/es/products/20-flushback-chassis-esp,https://americanchassisdepot.com/brochures/es/20-flushback-chassis-esp.pdf
es,33-slider-triaxle-esp,"33' SLIDER TRI-AXLE CONTAINER CHASSIS (ESP)",https://americanchassisdepot.com/es/products/33-slider-triaxle-esp,https://americanchassisdepot.com/brochures/es/33-slider-triaxle-esp.pdf
es,40-gooseneck-esp,"40' GOOSENECK CONTAINER CHASSIS (ESP)",https://americanchassisdepot.com/es/products/40-gooseneck-esp,https://americanchassisdepot.com/brochures/es/40-gooseneck-esp.pdf
es,40-lightweight-four-axle-esp,"40' LIGHTWEIGHT FOUR-AXLE CHASSIS (ESP)",https://americanchassisdepot.com/es/products/40-lightweight-four-axle-esp,https://americanchassisdepot.com/brochures/es/40-lightweight-four-axle-esp.pdf
es,40-45-extendable-container-chassis-esp,"40/45 Extensible Tandem",https://americanchassisdepot.com/es/products/40-45-extendable-container-chassis-esp,https://americanchassisdepot.com/brochures/es/40-45-extendable-container-chassis-esp.pdf
es,40-45-48-53-extendable-triaxle-esp,"40/45/48/53 Extensible Triaxle",https://americanchassisdepot.com/es/products/40-45-48-53-extendable-triaxle-esp,https://americanchassisdepot.com/brochures/es/40-45-48-53-extendable-triaxle-esp.pdf
es,40ft-gooseneck-lightweight-esp,"40ft Gooseneck Lightweight",https://americanchassisdepot.com/es/products/40ft-gooseneck-lightweight-esp,https://americanchassisdepot.com/brochures/es/40ft-gooseneck-lightweight-esp.pdf
es,40ft-gooseneck-triaxle-esp,"40ft Gooseneck Triaxle",https://americanchassisdepot.com/es/products/40ft-gooseneck-triaxle-esp,https://americanchassisdepot.com/brochures/es/40ft-gooseneck-triaxle-esp.pdf
es,40-gn-lightweight-4-axles-esp,"40′ GN Lightweight – 4 Ejes",https://americanchassisdepot.com/es/products/40-gn-lightweight-4-axles-esp,https://americanchassisdepot.com/brochures/es/40-gn-lightweight-4-axles-esp.pdf
es,40-gn-tandem-esp,"40′ GN Tandem",https://americanchassisdepot.com/es/products/40-gn-tandem-esp,https://americanchassisdepot.com/brochures/es/40-gn-tandem-esp.pdf
es,40ft-gooseneck-genset-esp,"40′ GN con Genset",https://americanchassisdepot.com/es/products/40ft-gooseneck-genset-esp,https://americanchassisdepot.com/brochures/es/40ft-gooseneck-genset-esp.pdf
es,45ft-multimodal-esp,"45ft MULTIMODAL CHASSIS (ESP)",https://americanchassisdepot.com/es/products/45ft-multimodal-esp,https://americanchassisdepot.com/brochures/es/45ft-multimodal-esp.pdf
es,53-gooseneck-slider-tandem-esp,"53 Gooseneck Slider Tandem",https://americanchassisdepot.com/es/products/53-gooseneck-slider-tandem-esp,https://americanchassisdepot.com/brochures/es/53-gooseneck-slider-tandem-esp.pdf
es,53-gn-tandem-intermodal-esp,"53′ GN Tandem Intermodal",https://americanchassisdepot.com/es/products/53-gn-tandem-intermodal-esp,https://americanchassisdepot.com/brochures/es/53-gn-tandem-intermodal-esp.pdf
es,20ft-container-chassis-2-axles-esp,"Chasis Contenedor 20ft – 2 Ejes",https://americanchassisdepot.com/es/products/20ft-container-chassis-2-axles-esp,https://americanchassisdepot.com/brochures/es/20ft-container-chassis-2-axles-esp.pdf
